Name,Id,City,Zipcode,Address,Website,Email,Phone,Company Type,Postal Address, description,Twitter, Linkedin, Lognitude,Latitude,,,,,,,,,,,,
W.H. Miedema B.V.,21768,HAREN GN,9752NR,Spinozalaan,None,None,None,accounting,Spinozalaan 5,b'None',None,None,6.600424444,53.16629444,,,,,,,,,,,,
Stetler B.V.,21769,HAREN GN,9752XA,Meerweg,None,None,None,accounting,Meerweg 141,b'None',None,None,6.588811177,53.16739412,,,,,,,,,,,,
De Widt Accountants Groningen B.V.,21770,HAREN GN,9752XA,Meerweg -A,None,None,None,accounting,Meerweg 143-A,b'None',None,None,6.588811177,53.16739412,,,,,,,,,,,,
Bureau v. Administr. en Bel.zaken R. Wester,21771,HAREN GN,9753GJ,Ridderspoorweg,None,None,None,accounting,Ridderspoorweg 4,b'None',None,None,6.621430833,53.17228333,,,,,,,,,,,,
M. A.J. van Veen-de Haan,21772,GLIMMEN,9756CL,Boerhoorn,None,None,None,accounting,Boerhoorn 12,b'None',None,None,6.6279925,53.1450375,,,,,,,,,,,,
Ster Accountants B.V.,21773,PATERSWOLDE,9765BR,Jan Pelleboerplein,None,None,None,accounting,Jan Pelleboerplein 1,b'None',None,None,6.567700588,53.14777059,,,,,,,,,,,,
Administratiekantoor Wagenmakers,21774,ZUIDWOLDE GN,9785AP,Noordwolderweg,None,None,None,accounting,Noordwolderweg 33,b'None',None,None,6.590274615,53.26265385,,,,,,,,,,,,
Romoco B.V.,21775,BERGEN NH,1861JZ,Plein,None,None,None,accounting,Millefiori 6-H,b'None',None,None,4.701658333,52.66965556,,,,,,,,,,,,
Administratiekantoor Rossing,21776,BRILTIL,9805TE,Brilweg -A,None,None,None,accounting,Postbus 34,b'None',None,None,6.390743125,53.24288125,,,,,,,,,,,,
Hemaro B.V.,21777,BRILTIL,9805TA,Hoendiep OZ a,None,None,None,accounting,Hoendiep OZ 3a,b'None',None,None,6.398177143,53.23292857,,,,,,,,,,,,
Baffo B.V.,21778,OLDEKERK,9821TV,Dwarsdiep,None,None,None,accounting,Dwarsdiep 16,b'None',None,None,6.336461765,53.22125294,,,,,,,,,,,,
Administratiekantoor B. Hoeksema & Zn.,21779,GROOTEGAST,9861BN,Hoflaan,None,None,None,accounting,Postbus 16,b'None',None,None,6.277772,53.21221,,,,,,,,,,,,
Radeac Accountants,21780,APPINGEDAM,9901BV,De Dobbe,None,None,None,accounting,De Dobbe 2,b'None',None,None,6.867612,53.32224,,,,,,,,,,,,
Accountantskantoor Mendelts & Trox,21781,LOPPERSUM,9919AJ,Molenweg,None,None,None,accounting,Postbus 3,b'None',None,None,6.741103333,53.33230952,,,,,,,,,,,,
Accountantskantoor J.J. Smit B.V.,21782,DELFZIJL,9934NR,Brander,None,None,None,accounting,Postbus 34,b'None',None,None,6.907371667,53.32706667,,,,,,,,,,,,
Acc.-Admin.consulenten-Kant. J. Sierts B.V.,21783,WINSUM GN,9951GW,Tulpstraat,None,None,None,accounting,Tulpstraat 20,b'None',None,None,6.518556667,53.33565833,,,,,,,,,,,,
Accountancy en Belastingadviseur Scholtens,21785,UITHUIZERMEEDEN,9982LH,Esdoornstraat,None,None,None,accounting,Esdoornstraat 23,b'None',None,None,6.733844667,53.41627333,,,,,,,,,,,,
Stichting Nedacc,21786,ZALTBOMMEL,5301LL,Hogeweg b,None,None,None,accounting,Hogeweg 129b,b'None',None,None,5.250441667,51.79542222,,,,,,,,,,,,
BDO Investigations B.V.,21788,AMSTELVEEN,1186DM,Krijgsman,None,None,None,accounting,Krijgsman 9,b'None',None,None,4.8810108,52.294472,,,,,,,,,,,,
BDO Consultants B.V.,21789,UTRECHT,3526KV,Winthontlaan,None,None,None,accounting,Postbus 4053,b'None',None,None,5.10886087,52.05980435,,,,,,,,,,,,
Van Noordenne Accountants Giessen B.V.,21790,GIESSEN,4283JN,Distributiestraat,None,None,None,accounting,Postbus 463,b'None',None,None,5.02978079,51.77832368,,,,,,,,,,,,
van de Giessen Accountant,21791,SLEEUWIJK,4254XR,Egelantierpad,None,None,None,accounting,Egelantierpad 21,b'None',None,None,4.951606207,51.81144828,,,,,,,,,,,,
Witlox Van den Boomen Accountants N.V.,21793,TILBURG,5026RM,Saal van Zwanenbergweg,None,None,None,accounting,Postbus 505,b'None',None,None,5.053691111,51.54256667,,,,,,,,,,,,
DATA Accountants & Adviseurs,21795,TILBURG,5015BT,Siriusstraat,None,None,None,accounting,Siriusstraat 85,b'None',None,None,5.110912917,51.57475833,,,,,,,,,,,,
K & S accountants en adviseurs,21796,TILBURG,5018HA,Ringbaan-Oost,None,None,None,accounting,Ringbaan-Oost 162,b'None',None,None,5.104347778,51.55964444,,,,,,,,,,,,
Swaans Registeraccountants,21797,TILBURG,5022PN,Ringbaan-Zuid,None,None,None,accounting,Ringbaan-Zuid 38,b'None',None,None,5.090576667,51.5426,,,,,,,,,,,,
Clemens en Freni Administr. & Belastingzaken,21798,TILBURG,5042XK,Meutestraat,None,None,None,accounting,Meutestraat 8,b'None',None,None,5.0515275,51.5732,,,,,,,,,,,,
Accountantskantoor Morre,21799,TILBURG,5049AC,Debussylaan,None,None,None,accounting,Debussylaan 24,b'None',None,None,5.071429474,51.58197368,,,,,,,,,,,,
Hebotuca B.V.,21801,HILVARENBEEK,5081BX,Dekanijstraat,None,None,None,accounting,Dekanijstraat 1,b'None',None,None,5.133312857,51.48525714,,,,,,,,,,,,
FR Beheer B.V.,21802,HAGHORST,5089NL,Emmastraat,None,None,None,accounting,Emmastraat 10,b'None',None,None,5.2086628,51.496188,,,,,,,,,,,,
Accountantskantoor PJMH Lommers B.V.,21803,DRUNEN,5151VV,Julianastraat,None,None,None,accounting,Julianastraat 4,b'None',None,None,5.133328235,51.68931176,,,,,,,,,,,,
Florijn Accountants- en Advieskantoor,21804,SPRANG-CAPELLE,5161BJ,Raadhuisstraat,None,None,None,accounting,Raadhuisstraat 74,b'None',None,None,5.020303182,51.67165909,,,,,,,,,,,,
Berlo & Nijmeijer Accountants Fiscalisten,21805,'S-HERTOGENBOSCH,5211CD,vd Does de Willeboissngl,None,None,None,accounting,Postbus 1568,b'None',None,None,5.294430556,51.68553333,,,,,,,,,,,,
Deykerhoff/Accountants,21806,'S-HERTOGENBOSCH,5231GT,Rompertsebaan,None,None,None,accounting,Postbus 2325,b'None',None,None,5.312751111,51.70565556,,,,,,,,,,,,
MTP Accountants & Adviseurs B.V.,21808,'S-HERTOGENBOSCH,5211BN,Koningsweg,None,None,None,accounting,Koningsweg 72,b'None',None,None,5.293554783,51.68519565,,,,,,,,,,,,
Drs. H.R.W. van Gent Registeraccountant,21809,'S-HERTOGENBOSCH,5211KL,Parade,None,None,None,accounting,Parade 19,b'None',None,None,5.307680645,51.68698065,,,,,,,,,,,,
FA&B Freni Accountancy & Belastingadvies,21810,'S-HERTOGENBOSCH,5237LK,Lotusvallei,None,None,None,accounting,Lotusvallei 17,b'None',None,None,5.290561667,51.72515,,,,,,,,,,,,
Bolk & De Bekker Accountants & Adviseurs,21811,ROSMALEN,5241LN,Saffierborch,None,None,None,accounting,Saffierborch 26,b'None',None,None,5.350724737,51.72212632,,,,,,,,,,,,
Belkom Accountants B.V.,21812,ROSMALEN,5248NL,Graafsebaan,None,None,None,accounting,Graafsebaan 111,b'None',None,None,5.41038625,51.71205,,,,,,,,,,,,
IJzermans Advies,21813,VLIJMEN,5251WE,Antoni Staringlaan,None,None,None,accounting,Antoni Staringlaan 61,b'None',None,None,5.206714,51.688485,,,,,,,,,,,,
Amla Beheer B.V.,21814,BERLICUM NB,5258PL,Nijesteijn,None,None,None,accounting,Nijesteijn 31,b'None',None,None,5.3948945,51.67783,,,,,,,,,,,,
A. van Genuchten Accountants & Adviseurs,21815,VUGHT,5262PS,Den Dries,None,None,None,accounting,Postbus 14,b'None',None,None,5.277761364,51.6414,,,,,,,,,,,,
Family Capital Management B.V.,21816,VUGHT,5261NE,Boxtelseweg -A,None,None,None,accounting,Postbus 100,b'None',None,None,5.306334,51.64245,,,,,,,,,,,,
APD Consult B.V.,21817,VUGHT,5262DC,Reigersbekstraat,None,None,None,accounting,Reigersbekstraat 7,b'None',None,None,5.274285667,51.64126,,,,,,,,,,,,
Accountants- en Administratiekantoor Veldman,21818,HELVOIRT,5268DN,Poirtersstraat,None,None,None,accounting,Poirtersstraat 16,b'None',None,None,5.223359286,51.62874286,,,,,,,,,,,,
RaadMeesters Accountancy B.V.,21819,HELVOIRT,5268AV,Torenstraat,None,None,None,accounting,Postbus 51,b'None',None,None,5.236473636,51.63123636,,,,,,,,,,,,
De Vaan MKB Accountants B.V.,21820,DEN DUNGEN,5275EB,Het Schild,None,None,None,accounting,Het Schild 1,b'None',None,None,5.3676302,51.670888,,,,,,,,,,,,
Hendriks van Bergen & Smulders B.V.,21821,BERGHEM,5351EB,Kerkstraat,None,None,None,accounting,Postbus 252,b'None',None,None,5.566021739,51.76875652,,,,,,,,,,,,
Van Pinxteren & Klomp Account./Bel.advis. BV,21822,OSS,5344AK,Rossinistraat,None,None,None,accounting,Postbus 394,b'None',None,None,5.512200862,51.75765517,,,,,,,,,,,,
van de Wiel & van der Wielen Acc. Adv. B.V.,21823,OSS,5344AT,Obrechtstraat,None,None,None,accounting,Obrechtstraat 10,b'None',None,None,5.515998519,51.75943333,,,,,,,,,,,,
De Loijer Van Liempt Accountants en Adviseurs,21824,OSS,5345AJ,Hertogin Johannasingel,None,None,None,accounting,Hertogin Johannasingel 40,b'None',None,None,5.517242593,51.76302963,,,,,,,,,,,,
MVD Bedrijfsconsultancy,21825,OSS,5346JH,Rusheuvelstraat,None,None,None,accounting,Rusheuvelstraat 30,b'None',None,None,5.521872414,51.77738966,,,,,,,,,,,,
Accountantskantoor van Gaal,21826,OSS,5347JA,de Horzak,None,None,None,accounting,de Horzak 61,b'None',None,None,5.527871875,51.77573125,,,,,,,,,,,,
Van der Scheer & Meijers,21827,UDEN,5401HL,Velmolenweg,None,None,None,accounting,Velmolenweg 81,b'None',None,None,5.619083333,51.65499333,,,,,,,,,,,,
Accountantskantoor de Kleijn,21828,UDEN,5404PR,Hulstheuvel,None,None,None,accounting,Hulstheuvel 7,b'None',None,None,5.609321,51.64938,,,,,,,,,,,,
NOGU B.V.,21830,GEMERT,5421BP,Molenakkerstraat,None,None,None,accounting,Molenakkerstraat 84,b'None',None,None,5.691443077,51.55645385,,,,,,,,,,,,
Majadi B.V.,21831,GEMERT,5421PS,Vondellaan,None,None,None,accounting,Vondellaan 126,b'None',None,None,5.68775375,51.5634625,,,,,,,,,,,,
L & L Finance B.V.,21832,GEMERT,5421ZP,Doonheide,None,None,None,accounting,Doonheide 46,b'None',None,None,5.69481303,51.56730303,,,,,,,,,,,,
Slooten van den Bogaart account. & adv. B.V.,21833,CUIJK,5431DM,Grotestraat,None,None,None,accounting,Postbus 45,b'None',None,None,5.883276539,51.72609231,,,,,,,,,,,,
GiRiNi Holding B.V.,21834,CUIJK,5431BA,Den Oeiep,None,None,None,accounting,Den Oeiep 1,b'None',None,None,5.875425625,51.7335625,,,,,,,,,,,,
VGL Belastingadviseurs B.V.,21836,VEGHEL,5462GG,Pater van den Elsenlaan,None,None,None,accounting,Pater van den Elsenlaan 33,b'None',None,None,5.524556296,51.61842963,,,,,,,,,,,,
Scan&Control,21837,VEGHEL,5464PL,Turfven,None,None,None,accounting,Turfven 6,b'None',None,None,5.564668674,51.63277653,,,,,,,,,,,,
Bergtop Beheer B.V.,21838,VELDHOVEN,5503BA,Van Aelstlaan,None,None,None,accounting,Van Aelstlaan 23,b'None',None,None,5.401952857,51.41607143,,,,,,,,,,,,
Harry Kouwenberg accountant adviseur,21839,VELDHOVEN,5503EC,Hagendorenseweg,None,None,None,accounting,Hagendorenseweg 2,b'None',None,None,5.416380476,51.4189381,,,,,,,,,,,,
Libra Accountants B.V.,21840,VELDHOVEN,5504ED,De Plank,None,None,None,accounting,De Plank 82,b'None',None,None,5.395101579,51.39978421,,,,,,,,,,,,
Lepelaars Administratie,21841,VELDHOVEN,5504ET,Abdijtuinen,None,None,None,accounting,Abdijtuinen 116,b'None',None,None,5.400898158,51.40896316,,,,,,,,,,,,
BLM Registeraccountants B.V.,21842,VELDHOVEN,5509MJ,Bastion,None,None,None,accounting,Bastion 50,b'None',None,None,5.412362727,51.42907273,,,,,,,,,,,,
Ratio Accountants B.V.,21843,HAPERT,5527AS,Nieuwstraat,None,None,None,accounting,Nieuwstraat 47,b'None',None,None,5.255955,51.36751429,,,,,,,,,,,,
DB-Accountancy & Advies,21844,HULSEL,5096BC,Vooreind,None,None,None,accounting,Postbus 56,b'None',None,None,5.171275882,51.3889,,,,,,,,,,,,
HEMI B.V.,21845,BLADEL,5531BG,Europalaan,None,None,None,accounting,Europalaan 91,b'None',None,None,5.212891579,51.3677,,,,,,,,,,,,
De Hoef Beheer B.V.,21846,RIETHOVEN,5561TN,Hobbel a,None,None,None,accounting,Hobbel 1a,b'None',None,None,5.370622051,51.35849744,,,,,,,,,,,,
Schema Accountants B.V.,21847,BERGEIJK,5571CX,Bucht,None,None,None,accounting,Bucht 44,b'None',None,None,5.371750385,51.32499231,,,,,,,,,,,,
Chester Advising B.V.,21848,WAALRE,5583GT,Booyenhoek,None,None,None,accounting,Booyenhoek 5,b'None',None,None,5.492782632,51.40030526,,,,,,,,,,,,
Vintage 1969 B.V.,21849,WAALRE,5583TH,Dianestraat,None,None,None,accounting,Dianestraat 21,b'None',None,None,5.488479167,51.39134167,,,,,,,,,,,,
Smulders Accountancy,21850,HEEZE,5591EM,Burg Michelsstraat,None,None,None,accounting,Burg Michelsstraat 5,b'None',None,None,5.573796667,51.38649583,,,,,,,,,,,,
J. Follon Registeraccountant B.V.,21851,HEEZE,5591GH,Dominee Kremerstraat,None,None,None,accounting,Dominee Kremerstraat 55,b'None',None,None,5.57314,51.3829413,,,,,,,,,,,,
Adviesbureau A.H.J. kleine Kalvenhaar,21852,HEEZE,5591PG,Spoetnik,None,None,None,accounting,Spoetnik 12,b'None',None,None,5.56322,51.38131818,,,,,,,,,,,,
Mizan Eindhoven B.V.,21854,EINDHOVEN,5622PC,Boschdijk,None,None,None,accounting,Postbus 502,b'None',None,None,5.458800256,51.45782051,,,,,,,,,,,,
Paket Accountants B.V.,21855,EINDHOVEN,5611GK,Kerkstraat,None,None,None,accounting,Postbus 2186,b'None',None,None,5.478322105,51.43695263,,,,,,,,,,,,
Wesselman Registeraccountants B.V.,21856,EINDHOVEN,5611LG,Elzentlaan,None,None,None,accounting,Postbus 6436,b'None',None,None,5.482066429,51.43135,,,,,,,,,,,,
Kemp Accountants B.V.,21857,EINDHOVEN,5653MA,Beemdstraat -A,None,None,None,accounting,Postbus 8541,b'None',None,None,5.450182308,51.42943846,,,,,,,,,,,,
Pierre Bekkers Advies,21858,EINDHOVEN,5616GM,Strijpsestraat,None,None,None,accounting,Strijpsestraat 107,b'None',None,None,5.456175,51.44052,,,,,,,,,,,,
Van Eert Accountants & Adviseurs,21859,EINDHOVEN,5616HS,Steijgerweg -A,None,None,None,accounting,Steijgerweg 6-A,b'None',None,None,5.453868125,51.43558125,,,,,,,,,,,,
T.J.A. Koppelman,21860,EINDHOVEN,5626GN,Emilie Wertheimlaan,None,None,None,accounting,Emilie Wertheimlaan 13,b'None',None,None,5.432888462,51.47577692,,,,,,,,,,,,
Komaro B.V.,21861,EINDHOVEN,5645KM,Vlasven,None,None,None,accounting,Vlasven 19,b'None',None,None,5.515236667,51.42250556,,,,,,,,,,,,
Bosch Accountancy B.V.,21863,GELDROP,5665JK,Herdersveld,None,None,None,accounting,Herdersveld 13,b'None',None,None,5.580081364,51.42038636,,,,,,,,,,,,
Donkers Accountants B.V.,21865,BEST,5684GR,Mecklenburgweg,None,None,None,accounting,Mecklenburgweg 2,b'None',None,None,5.386045,51.49655,,,,,,,,,,,,
M.G.A. Janssen Beheer B.V.,21866,BEST,5684JD,Weegbree,None,None,None,accounting,Weegbree 37,b'None',None,None,5.38824375,51.49390625,,,,,,,,,,,,
Van der Velden Advies B.V.,21867,SON EN BREUGEL,5692DR,Ekkersrijt,None,None,None,accounting,Ekkersrijt 4609,b'None',None,None,5.46394,51.50083333,,,,,,,,,,,,
MR-accountancy,21868,BREUGEL,5694AW,Brouwerstraat,None,None,None,accounting,Brouwerstraat 18,b'None',None,None,5.51274,51.51583333,,,,,,,,,,,,
Beekmans & Slaats Account./Belastingadvis. BV,21869,HELMOND,5707AL,Mierloseweg -C,None,None,None,accounting,Postbus 468,b'None',None,None,5.646147,51.47693,,,,,,,,,,,,
P.P.J.G. Saasen Registeraccountant B.V.,21870,HELMOND,5708CX,Jan Hokaarsstraat,None,None,None,accounting,Jan Hokaarsstraat 3,b'None',None,None,5.613067692,51.48825769,,,,,,,,,,,,
A.P.J. van der Heijden RA B.V.,21871,HELMOND,5708EK,Gerwenseweg -B,None,None,None,accounting,Gerwenseweg 26-B,b'None',None,None,5.612733,51.48656667,,,,,,,,,,,,
Lima Advies B.V.,21872,HELMOND,5709SX,Varennadreef,None,None,None,accounting,Varennadreef 10,b'None',None,None,5.699906471,51.4909,,,,,,,,,,,,
AccountXperts B.V.,21873,SOMEREN,5711GV,Kerkstraat ab,None,None,None,accounting,Postbus 142,b'None',None,None,5.712200606,51.38125758,,,,,,,,,,,,
Tinnemans van Loon Accountantskantoor,21874,ASTEN,5721KJ,Wilhelminastraat,None,None,None,accounting,Postbus 201,b'None',None,None,5.743428889,51.4028,,,,,,,,,,,,
Beau Beheer B.V.,21875,ASTEN,5721BB,Hofstraat,None,None,None,accounting,Hofstraat 2,b'None',None,None,5.740046667,51.40913333,,,,,,,,,,,,
De Vries & Boudewijns Accountancy,21876,MIERLO,5731AE,Ambachtweg,None,None,None,accounting,Ambachtweg 75,b'None',None,None,5.615567826,51.44732609,,,,,,,,,,,,
ZV48 administratieve dienstverlening,21877,MIERLO,5731KC,Wersakker,None,None,None,accounting,Wersakker 30,b'None',None,None,5.608577391,51.44034348,,,,,,,,,,,,
Dreverman Accountancy,21878,MIERLO,5731MK,De Loo,None,None,None,accounting,De Loo 106,b'None',None,None,5.619087813,51.434275,,,,,,,,,,,,
Stijca B.V.,21879,AARLE-RIXTEL,5735PN,Clovishof,None,None,None,accounting,Clovishof 32,b'None',None,None,5.628685385,51.50723077,,,,,,,,,,,,
Ellen Kuypers Beheer B.V.,21880,BEEK EN DONK,5741ST,Trentstraat,None,None,None,accounting,Trentstraat 9,b'None',None,None,5.633426444,51.54436889,,,,,,,,,,,,
Max Accountants & Belastingadviseurs,21881,DEURNE,5752BG,Suezlaan,None,None,None,accounting,Suezlaan 38,b'None',None,None,5.81083375,51.47578333,,,,,,,,,,,,
Accountants- en Belastingadviesbureau Sap,21882,BOXMEER,5831CS,Bakelgeertstraat,None,None,None,accounting,Bakelgeertstraat 23,b'None',None,None,5.941169048,51.64629048,,,,,,,,,,,,
Gekobo B.V.,21883,BOXMEER,5831VA,Govert Flinckstraat,None,None,None,accounting,Govert Flinckstraat 3,b'None',None,None,5.93813,51.653,,,,,,,,,,,,
T.P.W. Wennekers Holding B.V.,21884,OPLOO,5841BK,Rondsel,None,None,None,accounting,Rondsel 14,b'None',None,None,5.8733348,51.609804,,,,,,,,,,,,
Anagram B.V.,21885,SINT ANTHONIS,5845EX,Noordkant -B,None,None,None,accounting,Noordkant 13-B,b'None',None,None,5.888769286,51.635,,,,,,,,,,,,
Stippent B.V.,21886,LEDEACKER,5846AB,Dorpsstraat,None,None,None,accounting,Dorpsstraat 45,b'None',None,None,5.874518182,51.6341303,,,,,,,,,,,,
Evotura II B.V.,21887,AMERICA,5966RM,Raamweg,None,None,None,accounting,Raamweg 8,b'None',None,None,5.96817,51.42615,,,,,,,,,,,,
D'n Din Accountants en Adviseurs,21888,SOERENDONK,6027NB,Goorstraat,None,None,None,accounting,Goorstraat 33,b'None',None,None,5.567569565,51.30223913,,,,,,,,,,,,
P.J.C. Vulders Account.-Administr.consul. BV,21889,NIJMEGEN,6525XN,Baljuwstraat,None,None,None,accounting,Baljuwstraat 26,b'None',None,None,5.857264546,51.81308182,,,,,,,,,,,,
Stichting Pon-Projecten,21891,TILBURG,5038EB,Stationsstraat,None,None,None,accounting,Postbus 90123,b'None',None,None,5.08256,51.5593,,,,,,,,,,,,
Stichting Betonindustrie,21892,WOERDEN,3447GS,Zaagmolenlaan,None,None,None,accounting,Postbus 194,b'None',None,None,4.889125,52.080575,,,,,,,,,,,,
Stg. Centrale Admin. voor Vrije Scholen,21893,ZEIST,3701EP,Stationslaan,None,None,None,accounting,Stationslaan 8,b'None',None,None,5.249391429,52.08844286,,,,,,,,,,,,
Libra Management B.V.,21895,SCHAGEN,1741BH,Noord,None,None,None,accounting,Noord 142,b'None',None,None,4.791050968,52.79273065,,,,,,,,,,,,
Van Gelsdorp B.V.,21896,NOORDWIJK ZH,2201WZ,Zwin,None,None,None,accounting,Zwin 17,b'None',None,None,4.4344275,52.22853333,,,,,,,,,,,,
RSA Accountants,21897,'S-GRAVENHAGE,2548BN,Laan van Wateringse Veld,None,None,None,accounting,Laan van Wateringse Veld 591,b'None',None,None,4.286164789,52.03038028,,,,,,,,,,,,
J.L.M. Olsthoorn B.V.,21898,MAASDIJK,2676BP,Lange Kruisweg -A,None,None,None,accounting,Lange Kruisweg 69-A,b'None',None,None,4.216602381,51.95054524,,,,,,,,,,,,
4U2 Consultancy B.V.,21899,'S-GRAVENZANDE,2691HM,Onyx,None,None,None,accounting,Onyx 38,b'None',None,None,4.171650476,51.99505714,,,,,,,,,,,,
RTS Witgoud B.V.,21900,ZWIJNDRECHT,3332AA,De Botvink,None,None,None,accounting,De Botvink 1,b'None',None,None,4.643851667,51.8235,,,,,,,,,,,,
Dutch Audit,21901,UTRECHT,3515AB,Zaagmolenkade -BS,None,None,None,accounting,Zaagmolenkade 18-BS,b'None',None,None,5.119617778,52.101,,,,,,,,,,,,
Van de Kamp & Van Gelder B.V.,21903,AMERSFOORT,3812RK,Uraniumweg -F,None,None,None,accounting,Postbus 1517,b'None',None,None,5.349660667,52.16811333,,,,,,,,,,,,
Raaijmakers Accountancy & Advies B.V.,21904,OISTERWIJK,5061JX,Bedrijfsweg,None,None,None,accounting,Postbus 207,b'None',None,None,5.185075238,51.58674762,,,,,,,,,,,,
Duim Financiële Administraties B.V.,21906,NIJVERDAL,7443BN,Grotestraat b,None,None,None,accounting,Postbus 73,b'None',None,None,6.464126613,52.36549839,,,,,,,,,,,,
Administratiekantoor Heeten B.V.,21907,HEETEN,8111PD,Overmeenweg,None,None,None,accounting,Overmeenweg 25,b'None',None,None,6.258650833,52.34544167,,,,,,,,,,,,
Heida Accountancy B.V.,21908,NIEUWEHORNE,8414LW,Schoterlandseweg,None,None,None,accounting,Schoterlandseweg 32,b'None',None,None,6.054185172,52.94914138,,,,,,,,,,,,
VBA Van Braak Accountants Drenthe V.O.F.,21909,BORGER,9531RA,IJzertijdstraat,None,None,None,accounting,Postbus 47,b'None',None,None,6.78431625,52.92135,,,,,,,,,,,,
Top Administraties & Advies,21911,STROOBOS,9871PA,Hoendiep N.Z.,None,None,None,accounting,Hoendiep N.Z. 5,b'None',None,None,6.2152525,53.2388125,,,,,,,,,,,,
Quantum Accountants & Adviseurs,21912,APPINGEDAM,9902SR,Fivelpoort d,None,None,None,accounting,Fivelpoort 10d,b'None',None,None,6.86287,53.3025125,,,,,,,,,,,,
Reha Business,21913,LEENS,9965RP,Van der Munniklaan,None,None,None,accounting,Van der Munniklaan 29,b'None',None,None,6.381323913,53.36118696,,,,,,,,,,,,
Riemeijer Accountancy B.V.,21914,OLDENZIJL,9986XN,Hommesweg,None,None,None,accounting,Hommesweg 12,b'None',None,None,6.71680125,53.39275,,,,,,,,,,,,
J&J Accountancy,21915,NIJMEGEN,6542SK,Vlietstraat,None,None,None,managerial,Paulistrasse 5,b'None',None,None,5.837475152,51.84482121,,,,,,,,,,,,
Administratiekantoor J.P. de Lange,21916,BARENDRECHT,2992GG,Klarinetweg,None,None,None,managerial,Plümers Kamp 30,b'None',None,None,4.520325556,51.85521587,,,,,,,,,,,,
V.O.F. Administratiekantoor Derksen,21917,ELST GLD,6661JW,Apollo,None,None,None,managerial,Calle Elche 46 (Buzon 37),b'None',None,None,5.8644575,51.926115,,,,,,,,,,,,
Nobility,21918,GRONINGEN,9734CZ,De Waard,None,None,None,managerial,Alt Mohlenwarf 19,b'None',None,None,6.614519,53.22927667,,,,,,,,,,,,
J.P. ten Voorde,21919,BAKEL,5761RG,Nuijeneind -138,None,None,None,managerial,Gross Methling 29,b'None',None,None,5.709350697,51.50562364,,,,,,,,,,,,
Inge Vluggen,21920,WEERT,6005AA,Maaseikerweg,None,None,None,managerial,Smeetsstraat 46,b'None',None,None,5.71593875,51.24619375,,,,,,,,,,,,
Administratiekantoor 't Holle,21921,ROOSENDAAL,4708NN,Meesberg,None,None,None,managerial,Kloosterstraat 9-Bus 2,b'None',None,None,4.4350175,51.52238571,,,,,,,,,,,,
Pemba's Adminstraties,21922,ALMERE,1321EC,De Binderij,None,None,None,managerial,Postbus 1058,b'None',None,None,5.183619091,52.36348182,,,,,,,,,,,,
Hoogwoud & Van Haga Adm. & Belast.advies B.V.,21923,ALMERE,1333LJ,G.T. Rietveldstraat,None,None,None,managerial,Postbus 1226,b'None',None,None,5.259114546,52.40048182,,,,,,,,,,,,
Administratiekantoor Adbeco,21924,ALMERE,1313GL,Koolzaadweg,None,None,None,managerial,Postbus 1235,b'None',None,None,5.197280833,52.38151667,,,,,,,,,,,,
AdMathZo B.V.,21925,ALMERE,1314BH,Randstad 21,None,None,None,managerial,Postbus 1298,b'None',None,None,5.223558,52.37866,,,,,,,,,,,,
Outlive Administraties Almere,21926,ALMERE,1335XD,Richthuisstraat,None,None,None,managerial,Postbus 1362,b'None',None,None,5.296215,52.4102375,,,,,,,,,,,,
Kent Partners Financieel Beheer B.V.,21927,ALMERE,1316BW,Randstad 22,None,None,None,managerial,Postbus 1568,b'None',None,None,5.228787368,52.37900526,,,,,,,,,,,,
DVENO B.V.,21929,ALMERE,1316BZ,Randstad,None,None,None,managerial,Postbus 22030,b'None',None,None,5.226898125,52.3790875,,,,,,,,,,,,
FactuRaad,21930,ALMERE,1335LD,Zondaghof,None,None,None,managerial,Postbus 30086,b'None',None,None,5.279776,52.40644,,,,,,,,,,,,
Administratie- en Belastingadviesbureau Booij,21931,ALMERE,1335GD,Novemberstraat,None,None,None,managerial,Postbus 30244,b'None',None,None,5.2816425,52.4018,,,,,,,,,,,,
Amiko Almere B.V.,21932,ALMERE,1339NX,Filipijnenstraat,None,None,None,managerial,Postbus 30308,b'None',None,None,5.303681579,52.39703158,,,,,,,,,,,,
F.G. Buitenhuis/A.V.B.,21933,ALMERE,1314BL,Randstad 21,None,None,None,managerial,Postbus 30323,b'None',None,None,5.222675,52.378225,,,,,,,,,,,,
Van Lingen Financial Consultancy,21934,ALMERE,1355HK,Hofmark,None,None,None,managerial,Postbus 50156,b'None',None,None,5.233014667,52.34546667,,,,,,,,,,,,
Administratiekantoor Van Eijden,21935,ALMERE,1309AA,Oostvaardersdiep,None,None,None,managerial,Oostvaardersdiep 4,b'None',None,None,5.21970875,52.41685625,,,,,,,,,,,,
Mr. F. J. Fesevur,21936,ALMERE,1311JS,Rolling Stonesstraat,None,None,None,managerial,Rolling Stonesstraat 59,b'None',None,None,5.175410556,52.36790556,,,,,,,,,,,,
Administratiekantoor Prins-Sperber,21937,ALMERE,1312ES,Partitastraat,None,None,None,managerial,Partitastraat 10,b'None',None,None,5.186734,52.37569333,,,,,,,,,,,,
P. Overman Administratiekantoor,21938,ALMERE,1312HS,Carillonstraat,None,None,None,managerial,Carillonstraat 26,b'None',None,None,5.1901075,52.36855,,,,,,,,,,,,
